,ContractName,TotalPayoff,Year,Month
0,O1,-20099.999999999967,2017,06
1,O1,-14299.999999999993,2017,07
2,S1,198300.0,2017,01
3,S1,-97700.0,2017,02
4,S1,-97700.00000000001,2017,03
5,O2,-1320540.0,2019,01
6,O2,-1680820.0,2019,02
7,O2,678800.0,2019,03
8,O2,-730570.0,2019,04
9,O2,-1097720.0,2019,05
10,O2,773630.0,2019,06
11,O2,3355940.0,2019,07
12,O2,75340320.0,2019,08
13,O2,39174380.0,2019,09
14,O2,507430.0,2018,10
15,O2,598010.0,2018,11
16,O2,43140.0,2018,12
17,S2,1481940.0,2017,01
18,S2,12339910.0,2018,01
19,S2,-1042810.0,2017,02
20,S2,515440.0,2018,02
21,S2,169240.0,2017,03
22,S2,1194750.0,2018,03
23,S2,295600.0,2017,04
24,S2,1816500.0,2018,04
25,S2,1800420.0,2017,05
26,S2,10643770.0,2018,05
27,S2,3521210.0,2017,06
28,S2,6632560.0,2018,06
29,S2,7182810.0,2017,07
30,S2,43128530.0,2018,07
31,S2,4339550.0,2017,08
32,S2,7888670.0,2018,08
33,S2,1689200.0,2017,09
34,S2,4535740.0,2018,09
35,S2,301990.0,2017,10
36,S2,6721420.0,2018,10
37,S2,429270.0,2017,11
38,S2,7369120.0,2018,11
39,S2,-34970.0,2017,12
40,S2,6966000.0,2018,12
