,SettlementPoint,Mean,Min,Max,SD,Year,Month
0,HB_BUSAVG,19.209301075268822,5.12,54.69,5.48521039009743,2016,01
1,HB_BUSAVG,23.25278225806453,1.94,96.28,7.471612705493784,2017,01
2,HB_BUSAVG,37.86967741935482,5.83,1660.04,87.56361308118339,2018,01
3,HB_BUSAVG,24.59256720430107,5.72,75.28,8.130355147669786,2019,01
4,HB_BUSAVG,15.288247126436788,1.79,50.98,5.77717217692724,2016,02
5,HB_BUSAVG,20.1178273809524,3.56,52.7,6.538278533511916,2017,02
6,HB_BUSAVG,21.854315476190465,5.09,73.49,7.541317693617223,2018,02
7,HB_BUSAVG,21.186369047619046,5.06,56.68,7.013010151618259,2019,02
8,HB_BUSAVG,16.755625841184376,1.22,64.31,7.368496875539129,2016,03
9,HB_BUSAVG,22.569892328398367,4.92,78.44,7.988595981559292,2017,03
10,HB_BUSAVG,22.561978465679648,7.34,69.97,8.35799112360004,2018,03
11,HB_BUSAVG,27.565720053835797,7.31,675.6,34.263891687476494,2019,03
12,HB_BUSAVG,18.289347222222197,1.18,93.09,9.506142732088001,2016,04
13,HB_BUSAVG,23.70508333333335,8.37,81.08,7.768482147422761,2017,04
14,HB_BUSAVG,23.142958333333308,6.22,53.44,7.3667687663368335,2018,04
15,HB_BUSAVG,22.613180555555562,5.34,102.53,11.853101342168479,2019,04
16,HB_BUSAVG,18.15958333333335,3.03,73.61,8.017220813376365,2016,05
17,HB_BUSAVG,25.087352150537626,4.66,65.3,7.952691485425806,2017,05
18,HB_BUSAVG,34.00524193548385,8.49,541.31,38.314470370603864,2018,05
19,HB_BUSAVG,23.959932795698922,9.46,67.19,8.560298614984854,2019,05
20,HB_BUSAVG,23.90981944444443,4.02,110.72,11.305436288586218,2016,06
21,HB_BUSAVG,27.669152777777793,15.22,82.18,11.114801167073598,2017,06
22,HB_BUSAVG,29.96612499999997,15.16,114.07,14.658058238847639,2018,06
23,HB_BUSAVG,25.08554166666668,8.72,102.2,13.651568525669756,2019,06
24,HB_BUSAVG,27.187473118279588,7.61,99.29,12.406065835499756,2016,07
25,HB_BUSAVG,31.45427419354836,16.64,257.04,17.838848649545913,2017,07
26,HB_BUSAVG,78.85944892473117,9.9,2061.99,233.36169591636278,2018,07
27,HB_BUSAVG,29.72962365591398,11.28,274.56,26.86115729182233,2019,07
28,HB_BUSAVG,30.567137096774225,13.39,230.02,27.15155808784458,2016,08
29,HB_BUSAVG,27.50701612903228,16.62,88.75,10.898581913248776,2017,08
30,HB_BUSAVG,31.661559139784913,12.71,149.91,18.572329132601762,2018,08
31,HB_BUSAVG,126.38408602150527,10.04,3499.84,401.206306600097,2019,08
32,HB_BUSAVG,26.861750000000033,10.89,202.4,14.904298172890444,2016,09
33,HB_BUSAVG,24.18416666666669,8.38,59.02,7.9236597783932705,2017,09
34,HB_BUSAVG,27.17544444444446,14.59,88.96,10.5109675059282,2018,09
35,HB_BUSAVG,79.61562499999994,7.88,5008.32,380.21393107679,2019,09
36,HB_BUSAVG,25.2048387096774,2.92,274.77,16.32711959988236,2016,10
37,HB_BUSAVG,23.563279569892487,3.07,97.54,10.300630159991833,2017,10
38,HB_BUSAVG,29.95782258064515,10.32,95.21,10.16982978140472,2018,10
39,HB_BUSAVG,28.247056451612934,6.39,851.45,53.26734427541531,2019,10
40,HB_BUSAVG,19.244902777777792,2.3,48.65,6.3781515532879896,2016,11
41,HB_BUSAVG,22.677458333333327,4.28,83.65,8.31051267552799,2017,11
42,HB_BUSAVG,30.644499999999972,9.3,108.07,11.598420053307358,2018,11
43,HB_BUSAVG,23.46837500000001,3.26,203.7,14.638393552028687,2019,11
44,HB_BUSAVG,25.31830645161287,2.72,139.42,11.105303297399237,2016,12
45,HB_BUSAVG,21.187956989247333,5.82,55.67,5.193307565046879,2017,12
